query_id,full_greedy_recall,full_greedy_steps,full_bfs_recall,full_bfs_nodes,coarse_greedy_recall,coarse_greedy_steps,coarse_bfs_recall,coarse_bfs_nodes
0,0.02,2,0.14,100,0.02,2,0.18,100
1,0.04,2,0.24,100,0.02,2,0.22,100
2,0.04,4,0.16,100,0.04,3,0.14,100
3,0.04,4,0.22,100,0.02,3,0.2,100
4,0.06,4,0.18,100,0.06,4,0.14,100
5,0.02,2,0.26,100,0.02,3,0.16,100
6,0.02,2,0.28,100,0.04,3,0.26,100
7,0.04,3,0.24,100,0.02,2,0.34,100
8,0.02,3,0.12,100,0.04,3,0.22,100
9,0.06,4,0.24,100,0.02,3,0.14,100
10,0.02,2,0.18,100,0.04,3,0.18,100
11,0.02,2,0.14,100,0.04,3,0.18,100
12,0.02,1,0.34,100,0.02,2,0.22,100
13,0.06,3,0.16,100,0.02,2,0.26,100
14,0.06,4,0.24,100,0.02,3,0.14,100
15,0.02,3,0.18,100,0.06,4,0.2,100
16,0.04,2,0.28,100,0.0,2,0.28,100
17,0.02,2,0.24,100,0.02,2,0.16,100
18,0.02,2,0.2,100,0.02,2,0.12,100
19,0.04,2,0.16,100,0.04,3,0.1,100
